from,to,weight
41,78,1
55,41,7
95,41,6
41,64,2
41,1,2
41,53,3
41,52,2
41,48,2
64,1,3
64,53,5
64,52,2
64,48,3
1,53,3
1,52,2
1,48,2
53,52,2
53,48,3
52,48,2
102,64,1
102,41,1
64,41,6
72,41,2
5,41,1
81,41,13
104,41,5
41,24,1
10,41,2
17,41,4
36,41,1
64,17,1
63,41,1
68,41,2
11,108,2
11,73,3
11,41,8
108,73,2
108,41,2
73,41,3
110,43,1
110,75,1
43,75,2
68,3,1
68,56,1
68,31,1
68,58,1
3,56,1
3,31,1
3,58,1
3,41,1
56,31,1
56,58,1
56,41,2
31,58,1
31,41,1
58,41,1
35,41,3
6,24,1
6,41,1
24,41,1
76,41,4
85,41,1
64,81,3
64,98,2
64,25,2
64,93,2
81,98,2
81,25,2
81,93,4
98,25,2
98,93,2
98,41,2
25,93,2
25,41,2
93,41,6
47,23,1
86,11,3
86,81,3
86,91,1
86,93,1
86,17,1
86,28,1
86,41,3
11,81,4
11,91,1
11,93,2
11,17,1
11,28,1
81,91,1
81,17,1
81,28,1
91,93,1
91,17,1
91,28,1
91,41,1
93,17,1
93,28,1
17,28,1
28,41,2
40,105,2
40,86,2
40,34,2
40,51,2
40,11,2
40,81,3
40,111,2
40,41,3
105,86,2
105,34,3
105,51,2
105,11,3
105,81,3
105,111,2
105,41,3
86,34,2
86,51,2
86,111,2
34,51,2
34,11,2
34,81,3
34,111,2
34,41,4
51,11,2
51,81,2
51,111,2
51,41,2
11,111,2
81,111,2
111,41,2
4,41,11
64,27,2
64,104,2
64,79,2
27,104,2
27,53,2
27,79,2
27,81,2
27,41,2
104,53,2
104,79,2
104,81,2
53,79,2
53,81,2
53,41,3
79,81,2
79,41,2
62,80,1
62,64,1
62,78,1
62,56,1
62,50,1
62,87,1
62,27,1
62,2,1
62,10,1
62,76,1
62,105,1
62,13,1
62,60,1
62,104,1
62,53,1
62,96,1
62,79,1
62,94,1
62,11,1
62,61,1
62,18,1
62,34,1
62,101,1
62,46,1
62,92,1
62,55,1
62,32,1
62,88,1
62,81,1
62,98,1
62,25,1
62,9,1
62,48,1
62,77,1
62,93,1
62,73,1
62,59,1
62,41,1
80,64,1
80,78,1
80,56,1
80,50,1
80,87,1
80,27,1
80,2,1
80,10,1
80,76,1
80,105,1
80,13,1
80,60,1
80,104,1
80,53,1
80,96,1
80,79,1
80,94,1
80,11,1
80,61,1
80,18,1
80,34,1
80,101,1
80,46,1
80,92,1
80,55,1
80,32,1
80,88,1
80,81,1
80,98,1
80,25,1
80,9,1
80,48,1
80,77,1
80,93,1
80,73,1
80,59,1
80,41,1
64,78,1
64,56,1
64,50,2
64,87,1
64,2,1
64,10,1
64,76,1
64,105,1
64,13,1
64,60,1
64,96,1
64,94,1
64,11,2
64,61,1
64,18,1
64,34,2
64,101,1
64,46,1
64,92,1
64,55,1
64,32,1
64,88,1
64,9,1
64,77,1
64,73,1
64,59,1
78,56,1
78,50,1
78,87,1
78,27,1
78,2,1
78,10,1
78,76,1
78,105,1
78,13,1
78,60,1
78,104,1
78,53,1
78,96,1
78,79,1
78,94,1
78,11,1
78,61,1
78,18,1
78,34,1
78,101,1
78,46,1
78,92,1
78,55,1
78,32,1
78,88,1
78,81,1
78,98,1
78,25,1
78,9,1
78,48,1
78,77,1
78,93,1
78,73,1
78,59,1
78,41,1
56,50,1
56,87,1
56,27,1
56,2,1
56,10,1
56,76,1
56,105,1
56,13,1
56,60,1
56,104,1
56,53,1
56,96,1
56,79,1
56,94,1
56,11,1
56,61,1
56,18,1
56,34,1
56,101,1
56,46,1
56,92,1
56,55,1
56,32,1
56,88,1
56,81,1
56,98,1
56,25,1
56,9,1
56,48,1
56,77,1
56,93,1
56,73,1
56,59,1
50,87,1
50,27,1
50,2,1
50,10,1
50,76,1
50,105,1
50,13,1
50,60,1
50,104,1
50,53,2
50,96,1
50,79,1
50,94,1
50,11,2
50,61,1
50,18,1
50,34,2
50,101,1
50,46,1
50,92,1
50,55,1
50,32,1
50,88,1
50,81,1
50,98,1
50,25,1
50,9,1
50,48,1
50,77,1
50,93,1
50,73,1
50,59,1
50,41,2
87,27,1
87,2,1
87,10,1
87,76,1
87,105,1
87,13,1
87,60,1
87,104,1
87,53,1
87,96,1
87,79,1
87,94,1
87,11,1
87,61,1
87,18,1
87,34,1
87,101,1
87,46,1
87,92,1
87,55,1
87,32,1
87,88,1
87,81,1
87,98,1
87,25,1
87,9,1
87,48,1
87,77,1
87,93,1
87,73,1
87,59,1
87,41,1
27,2,1
27,10,1
27,76,1
27,105,1
27,13,1
27,60,1
27,96,1
27,94,1
27,11,1
27,61,1
27,18,1
27,34,1
27,101,1
27,46,1
27,92,1
27,55,1
27,32,1
27,88,1
27,98,1
27,25,1
27,9,1
27,48,1
27,77,1
27,93,1
27,73,1
27,59,1
2,10,1
2,76,1
2,105,1
2,13,1
2,60,1
2,104,1
2,53,1
2,96,1
2,79,1
2,94,1
2,11,1
2,61,1
2,18,1
2,34,1
2,101,1
2,46,1
2,92,1
2,55,1
2,32,1
2,88,1
2,81,1
2,98,1
2,25,1
2,9,1
2,48,1
2,77,1
2,93,1
2,73,1
2,59,1
2,41,1
10,76,1
10,105,1
10,13,1
10,60,1
10,104,1
10,53,1
10,96,1
10,79,1
10,94,1
10,11,1
10,61,1
10,18,1
10,34,1
10,101,1
10,46,1
10,92,1
