Vernacular title,Title,Durable link to Database,Collection,Title (uniform),Attribution,Author / Creator,Variant title,Finding aids,Edition,Published,Publication info,Description,Series / collection,Series (transcribed),Coverage date,History note,Summary,Language,Notes,Audience,Subjects,Cite As,Subject place,Med. subject,Keyword,Instrumentation,Style / period,Form / genre,Culture,Place,Associated place,Author / Creator,Creator characteristics,Contents,Is Part Of,In,Other title,Other title,Related titles,Attributes,Identifier,Linking notes,Related work,Related information,Associated Name,Use restrictions,Copyright,Repository,Includes layers,Collection,Creation Date,HOLLIS number,Permalink,Source,Other search terms,Image creator,Image title,Image date,Image materials,Image dimensions,Image note,Image type,Image subject,Image classification,Image associated name,Image copyright,Image ID,Harvard repository,Course Information,Permalink
,"British Guiana : speech delivered at the anti-slavery meeting in Exeter hall, on Wednesday, the 4th of April, 1838",,,,"by John Scoble, esq., the Marquis of Clanricarde, in the chair.","Scoble, John.  ",,,,"London : Published by the Central Negro Emancipation Committee, 1838.",,35 p. ; 22 cm.,Slavery and anti-slavery: a transnational archive  ,,,,,English,,,Slavery -- Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1838,990065663730203941,"<a href=""http://id.lib.harvard.edu/alma/990065663730203941/catalog"">http://id.lib.harvard.edu/alma/990065663730203941/catalog</a>",HVD - Core; HVD - Core,Crimes against humanity,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA512262027780003941
,"Address of the president of the New-Jersey Society for Promoting the Abolition of Slavery : to the general meeting at Trenton, on Wednesday the 26th of September, 1804",,,,,"Griffith, William, 1766-1826.  ",,,,"Trenton : Printed by Sherman & Mershon, 1804.",,12 p. ; 22 cm.,"[Pamphlets on slavery ; v. 72, no. 11]  ; Slavery and anti-slavery: a transnational archive  ","[Pamphlets on slavery ; v. 72, no. 11]",,,,English,,,Slavery -- New Jersey,,,,,,,,,,,New-Jersey Society for Promoting the Abolition of Slavery. ,,,,,,,,,,,,,,,,,,,1804,990061994040203941,"<a href=""http://id.lib.harvard.edu/alma/990061994040203941/catalog"">http://id.lib.harvard.edu/alma/990061994040203941/catalog</a>",HVD - Core; HVD - Core,Crimes against humanity,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA512261844150003941
,"Discours sur la nécessité d'établir à Paris une société pour concourir, avec celle de Londres, à l'abolition de la traite & de l'esclavage des négres",,,,"Prononcé le 19 février, 1788, dans une société de quelques amis, rassemblés à Paris, à la prière du comité de Londres.","Brissot de Warville, J.-P. (Jacques-Pierre), 1754-1793.  ",,,,[Paris? 1788?],,32 p. 18 cm.,,,,,,French,Caption title; woodcut ornament at head.,,Slavery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1788?],990046543650203941,"<a href=""http://id.lib.harvard.edu/alma/990046543650203941/catalog"">http://id.lib.harvard.edu/alma/990046543650203941/catalog</a>",HVD - Core,Crimes against humanity,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211920286690003941
,Observations upon Negro-slavery : [Seven lines of Scripture texts],,,,The author Charles Crawford.,"Crawford, Charles, 1752-  ",Observations upon Negro slavery,,,"Philadelphia: : Printed and sold by Joseph Crukshank, in Market-Street, between Second and Third-Streets., MDCCLXXXIV. [1784]",,24 p. ; 17 cm. (12mo),Slavery and anti-slavery: a transnational archive  ; Early American imprints. First series ; no. 18425  ; Eighteenth century collections online  ,,,,,English,"Signatures: [A]⁶ B⁶.; Includes bibliographical references.; <i>References: </i>Evans 18425; <i>References: </i>Hildeburn, C.R. Pennsylvania, 4463; <i>References: </i>Sabin, 17434; <i>References: </i>English Short Title Catalog, W21358.; <i>References: </i>Dumond, D.L. Antislavery in America, page 45; <i>References: </i>Evans, C. American bibliography, 18425; <i>References: </i>Library Company of Philadelphia. Afro-Americana, 1553-1906, 2793; <i>References: </i>Sabin, J. Dictionary of books relating to America from its discovery to the present time, 17434",,Slave trade; Slavery,,,,,,,,,<i>Hierarchical: </i>United States -- Pennsylvania -- Philadelphia ,,"Crukshank, Joseph, 1746?-1836 [printer] ",,,,,,,,,,,,,,,,,,,MDCCLXXXIV. [1784],990023208720203941,"<a href=""http://id.lib.harvard.edu/alma/990023208720203941/catalog"">http://id.lib.harvard.edu/alma/990023208720203941/catalog</a>",HVD - Core; HVD - Core,Crimes against humanity,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA512257397250003941
,"A dialogue between Do-Justice and Professing-Christian. Dedicated to the respective and collective abolition societies, and to all other benevolent, humane philanthropists, in America",,,,,"Garrettson, Freeborn, 1752-1827.  ",,,,"Wilmington, Printed by P. Brynberg [1820?]",,58 p. 20 cm.,Slavery and anti-slavery: a transnational archive  ,,,,,English,Master microform held by: Readex.,,Slavery -- United States -- Controversial literature -- 1820.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[1820?],990055314990203941,"<a href=""http://id.lib.harvard.edu/alma/990055314990203941/catalog"">http://id.lib.harvard.edu/alma/990055314990203941/catalog</a>",HVD - Core; HVD - Core,Crimes against humanity,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211946510130003941
,"Manifiesto que dirige la Junta de Tenedores de Vales de Abolición que se ha instalado en la ciudad de Caracas, a todos los acreedores interesados : en que se cumpla y realice la indemnicación que constitucionalmente les es debida, por consecuencia de la ley de extinción de la esclavitud",,,,,"Junta de Tenedores de Vales de Abolición (Caracas, Venezuela) ",,,,"Carácas : Imprenta Nacional de M. de Briceño, 1855.",,19 cm. ; 21 cm.,,,,,,Spanish,,,Slaves -- Emancipation -- Venezuela; Slavery -- Venezuela,,,,,,,,,<i>Hierarchical: </i>Venezuela -- Caracas ,,"Sánchez, Manuel Segundo, 1868-1945 [former owner] ",,,,,,,,,,,,,,,,,,,1855,990090994640203941,"<a href=""http://id.lib.harvard.edu/alma/990090994640203941/catalog"">http://id.lib.harvard.edu/alma/990090994640203941/catalog</a>",HVD - Core,Crimes against humanity; Persons,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA212073835860003941
,"Some reflections on the subject of slavery : respectfully submitted on behalf of the religious Society of Friends, to the Christian public in the British dominions",,,,,Society of Friends. ,,,,"[London : s.n., 1833]",,3 p.,"Goldsmiths'-Kress library of economic literature ; no. 28321  ; Making of the Modern World  ",,,,,English,"Caption title.; Signed: George Stacey, clerk, and dated: London, the 4th of the 1st month, 1833.; Goldsmiths'-Kress no. 28321.",,Slavery; Christian ethics,,,,,,,,,,,"Stacey, George. ",,,,,,,,,,,,,,,,,,,1833],990055079600203941,"<a href=""http://id.lib.harvard.edu/alma/990055079600203941/catalog"">http://id.lib.harvard.edu/alma/990055079600203941/catalog</a>",HVD - Core; HVD - Core,Christian life; Christian philosophy; Religious ethics; Crimes against humanity,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211943339040003941
,"Adresse de la société des amis des noirs, a l'Assemblée nationale, à toutes les villes de commerce, à toutes les manufactures, aux colonies, à toutes les Sociétés des amis de la constitution; adresse dans laquelle on approfondit les relations politiques et commerciales entre la métropole et les colonies, &c",,,,Rédigée par E. Clavière ...,"Clavière, Étienne, 1735-1793.  ",,,,"Paris, Imprimerie du patriote François ... Mars, 1791.",,"ℓ., vii, [3]-128 p. 25 cm.",Making of the Modern World  ,,,,,French,"Goldsmiths'-Kress no. 14997.0-2, suppl.",,Slavery -- France -- Colonies; France -- Colonies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1791,990044207960203941,"<a href=""http://id.lib.harvard.edu/alma/990044207960203941/catalog"">http://id.lib.harvard.edu/alma/990044207960203941/catalog</a>",HVD - Core; HVD - Core,Crimes against humanity,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211916508620003941
,"Strictures on the slave trade, and their manner of treatment in the West-India Islands : in a letter to the Right Hon. William Pitt, in opposition to the exertions now making in the House of Commons, for a abolition thereof by Mr. Wilberforce",,,,by a gentleman who resided more than twenty years in Jamaica.,Othello.  ,,,,"London : Printed for W. Richardson, 1790.",,40 p.,"Goldsmiths'-Kress library of economic literature ; no. 14514.5 suppl  ; Making of the Modern World  ; Slavery and anti-slavery: a transnational archive  ",,,,,English,"Signed: Othello.; Goldsmiths'-Kress no. 14514.5, suppl.",,"Antislavery movements -- Great Britain; Slavery -- West Indies, British",,,,,,,,,,,"Pitt, William, 1759-1806. ",,,,,,,,,,,,,,,,,,,1790,990063228170203941,"<a href=""http://id.lib.harvard.edu/alma/990063228170203941/catalog"">http://id.lib.harvard.edu/alma/990063228170203941/catalog</a>",HVD - Core; HVD - Core,Crimes against humanity,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211987298020003941
,West India sugar,,,,,,,,,"[S.l. : s.n., 1827] ([Liverpool : Printed by George Smith])",,4 p. ; 22 cm.,"Goldsmiths'-Kress library of economic literature ; no. 25399  ; Making of the Modern World  ",,,,,English,"Caption title.; Goldsmiths'-Kress no. 25399.",,"Slavery -- West Indies, British",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1827],990068951290203941,"<a href=""http://id.lib.harvard.edu/alma/990068951290203941/catalog"">http://id.lib.harvard.edu/alma/990068951290203941/catalog</a>",HVD - Core; HVD - Core,Crimes against humanity,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211996432380003941
,Substance of the speech made,,,,"by Gerrit Smith, in the capitol of the state of New York, March 11th and 12th, 1850.","Smith, Gerrit, 1797-1874.  ",,,,"Albany, J. T. Hazen, printer, 1850.",,30 p. 21 cm.,,,,,,English,,,Slavery -- United States -- Controversial literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,990037308340203941,"<a href=""http://id.lib.harvard.edu/alma/990037308340203941/catalog"">http://id.lib.harvard.edu/alma/990037308340203941/catalog</a>",HVD - Core,Crimes against humanity,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211884494370003941
,"Remarks, and a discourse on slavery,",,,,by G. W. Blagden.,"Blagden, George W. (George Washington), 1802-1884.  ",,,,"Boston, Ticknor, Reed, and Fields, 1854.",,30 p. 24 cm.,Slavery and anti-slavery: a transnational archive  ,,,,,English,"Delivered on the annual fast-day, April 8, 1847.",,Slavery -- United States -- Controversial literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1854,990035937980203941,"<a href=""http://id.lib.harvard.edu/alma/990035937980203941/catalog"">http://id.lib.harvard.edu/alma/990035937980203941/catalog</a>",HVD - Core; HVD - Core,Crimes against humanity,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA512261683400003941
,"A sermon, delivered in the Second Congregational church, Norwich,",,,,"on the fourth of July, 1834, at the request of the Anti-slavery Society of Norwich & vicinity.","Dickinson, James Taylor, 1806-1884.  ",,,,"Norwich [Conn.] Anti-slavery society, 1834.",,40 p. 22 cm.,,,,,,English,,,Slavery -- United States -- Controversial literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1834,990046378760203941,"<a href=""http://id.lib.harvard.edu/alma/990046378760203941/catalog"">http://id.lib.harvard.edu/alma/990046378760203941/catalog</a>",HVD - Core,Crimes against humanity,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211910733370003941
