Title,URL,,,,,
"The Abbey of la Trappe; Or, memoirs of the Count d’Auvergne, and Adelaide de Benavides. Translated from the French of M. Arnaud. With I. The funeral of Arabert, Monk of la Trappe, by Mr. Jerningham. II. Epistle from the Abbé de Rance to a friend, by Daniel Hayes, Esq.",https://cityreaders.nysoclib.org/Detail/objects/2383,,,,,
"An account of an embassy to the Kingdom of Ava, sent by the Governor-General of India, in the year 1795. By Michael Symes, Esq. Major in his Majesty’s 76th Regiment.",https://cityreaders.nysoclib.org/Detail/objects/1855,,,,,
"An account of a voyage for a discovery of a North-West Passage by Hudson's Streights, to the western and southern ocean of America ",https://cityreaders.nysoclib.org/Detail/objects/1532,,,,,
"An account of the European settlements in America. In six parts. I. A short History of the Discovery of that Part of the World. II. The Manners and Customs of the original Inhabitants. III. Of the Spanish Settlements. IV. Of the Portuguese. V. Of the French, Dutch, and Danish. VI. Of the English. Each Part contains An accurate Description of the Settlements in it, their Extent, Climate, Productions, Trade, Genius and Disposition of their Inhabitants",https://cityreaders.nysoclib.org/Detail/objects/1477,,,,,
An Account of the Life and Death of Mrs. Elizabeth Bury ...,https://cityreaders.nysoclib.org/Detail/objects/1941,,,,,
An account of the manners and customs of Italy ,https://cityreaders.nysoclib.org/Detail/objects/1223,,,,,
"An account of the Pelew Islands, situated in the western part of the Pacific Ocean. Composed from the journals and communications of Captain Henry Wilson, and some of his officers, who, in August 1783, were there shipwrecked in the Antelope, a Packet Belonging to the Hon. East India Company. By George Keate, Esq. F. R. E. and S. A.",https://cityreaders.nysoclib.org/Detail/objects/1372,,,,,
Account of the Russian discoveries between Asia and America ,https://cityreaders.nysoclib.org/Detail/objects/2105,,,,,
"An account of the voyages undertaken by the order of His present Majesty, for making discoveries in the southern hemisphere and successively performed by Commodore Byron, Captain Wallis, Captain Carteret, and Captain Cook, in the Dolphin, the Swallow, and the Endeavour ",https://cityreaders.nysoclib.org/Detail/objects/1352,,,,,
"Acts and monuments of matters most special and memorable, happening in the church",https://cityreaders.nysoclib.org/Detail/objects/2654,,,,,
