Accession Date (YYYYMMDD),Accession #,Title,Author,Author_name_portion,# Times Checked Out
18890928,6567,Zanoni.,"Lytton, Edward Bulwer Lytton,  Baron, ‡d 1803-1873.","Edward Bulwer Lytton, Baron Lytton",16
18890928,6571,Little Lord Fauntleroy.,"Burnett, Frances Hodgson, ‡d 1849-1924.", Frances Hodgson Burnett,65
18890928,6572,"Sara Crewe; or, What happened at Miss Minchin's.","Burnett, Frances Hodgson, ‡d 1849-1924.", Frances Hodgson Burnett,121
18890928,6578,Life and adventures of Robinson Crusoe.,"Defoe, Daniel, 1661?-1731.", Daniel Defoe,76
18890928,6580,A little country girl.,"Coolidge, Susan, ‡d 1835-1905.", Susan Coolidge,169
18890928,6588,"Hans Brinker, or The silver skates : a story of life in Holland.","Dodge, Mary Mapes, ‡d 1830-1905.", Mary Mapes Dodge,29
18890928,6589,Donald and Dorothy.,"Dodge, Mary Mapes, ‡d 1830-1905.", Mary Mapes Dodge,128
18890928,6590,The last war trail.,"Ellis, Edward Sylvester, ‡d 1840-1916.", Edward Sylvester Ellis,172
18890928,6591,The hunters of the Ozark.,"Ellis, Edward Sylvester, ‡d 1840-1916.", Edward Sylvester Ellis,126
18890928,6592,The camp in the mountains.,"Ellis, Edward Sylvester, ‡d 1840-1916.", Edward Sylvester Ellis,150
18890928,6593,Adam Bede : and Scenes of clerical life.,"Cross, Marian Evans, ‡d 1819-1880.", Marian Evans Cross,16
18890928,6594,"Felix Holt, the radical.","Cross, Marian Evans, ‡d 1819-1880.", Marian Evans Cross,43
18890928,6596,Beulah.,"Evans, Augusta J. (Augusta Jane), ‡d 1835-1909.", Augusta Jane Evans,66
18890928,6605,Marble faun.,"Hawthorne, Nathaniel, ‡d 1804-1864.", Nathaniel Hawthorne,44
18890928,6607,Les misérables.,"Hugo, Victor, ‡d 1802-1885.", Victor Hugo,40
18890928,6609,Bonnie Prince Charlie : a tale of Fontenoy and Culloden.,"Henty, G. A. (George Alfred), ‡d 1832-1902.", George Alfred Henty,55
18890928,6611,Ramona : a story.,"Jackson, Helen Hunt, ‡d 1830-1885.", Helen Hunt Jackson,154
18890928,6617,Gold Elsie.,"John, Eugenie, 1825-1887.", Eugenie John,82
18890928,6618,The little moorland princess.,"John, Eugenie, 1825-1887.", Eugenie John,173
18890928,6619,The old mam'selle's secret.,"John, Eugenie, 1825-1887.", Eugenie John,160
18890928,6620,A noble life.,"Craik, Dinah Maria Mulock, ‡d 1826-1887.", Dinah Maria Mulock Craik,74
18890928,6630,Vanity fair : a novel without a hero.,"Thackeray, William Makepeace, ‡d 1811-1863.", William Makepeace Thackeray,112
18890928,6659,"Little women, or, Meg, Jo, Beth and Amy.","Alcott, Louisa May, ‡d 1832-1888.", Louisa May Alcott,115
18890928,6660,Little men : life at Plumfield with Jo's boys.,"Alcott, Louisa May, ‡d 1832-1888.", Louisa May Alcott,144
18890928,6662,"Rose in bloom : a sequel to ""Eight cousins"".","Alcott, Louisa May, ‡d 1832-1888.", Louisa May Alcott,63
